Student's name: Pearson Emma	Total:111
Student's name: Goodwin Julia	Total:140
Student's name: Barton Rich	Total:142
Student's name: Horton Lillie	Total:145
Student's name: Newman George	Total:147
Student's name: Gates Anna	Total:152
Student's name: Wagner Charles	Total:160
Student's name: Neal Ada	Total:161
Student's name: Cummings Louise	Total:163
Student's name: Sawyer Sam	Total:165
Student's name: Robbins Alice	Total:167
Student's name: Stafford Sarah	Total:170
Student's name: Kimball Clara	Total:176
Student's name: Reid Lucy	Total:176
Student's name: Briggs Sami	Total:177
Student's name: Woodward Victor	Total:177
Student's name: Kelley Grover	Total:178
Student's name: Bacon Lena	Total:184
Student's name: Wade Tyson	Total:189
Student's name: Abbott Joseph	Total:190
Student's name: Dyer Andrew	Total:190
Student's name: Watkins Paul	Total:193
Student's name: Sparks Lee	Total:193
Student's name: Frost Elizabeth	Total:195
Student's name: Owens Will	Total:197
Student's name: Bush James	Total:199
Student's name: Mullins Jordan	Total:205

